,off_total_yds_g,off_pass_yds_g,off_rush_yds_g,off_pts_g,def_total_yds_g,def_pass_yds_g,def_rush_yds_g,def_pts_g,kick_att,kick_yds,kick_avg,kick_lng,kick_td,punt_att,punt_yds,punt_avg,punt_lng,punt_td,punt_fc,turn_diff,take_int,take_fum,take_total,give_int,give_fum,give_total,record,rat,pwr,off,def,hfa,sos,Year,Playoff
208,347.7,256.3,91.4,21.4,322.1,232.8,89.4,20.1,28,636,22.7,60,0,32,246,7.7,28,0,21,5,18,10,28,16,7,23,0.5,8.47,0.9,22.8,2.35,2.75,-0.07,2016,0
209,346.4,245.4,101.0,22.1,367.9,250.8,117.2,23.1,21,307,14.6,26,0,29,266,9.2,25,0,22,2,17,12,29,18,9,27,0.563,8.53,-0.72,22.61,0.92,2.59,0.7,2016,0
210,343.7,230.3,113.4,23.1,359.8,268.2,91.6,25.1,37,828,22.4,59,0,29,202,7.0,19,0,24,-2,17,10,27,19,10,29,0.375,8.35,1.8,24.69,1.35,2.71,0.88,2016,0
211,343.0,233.8,109.3,24.3,368.5,247.4,121.1,19.4,40,943,23.6,86,1,40,592,14.8,95,2,8,16,18,15,33,8,9,17,0.706,8.89,4.54,24.1,4.69,2.6,0.28,2016,1
212,338.8,256.9,81.9,21.6,354.8,248.4,106.3,22.4,35,793,22.7,42,0,20,246,12.3,85,2,16,-1,10,4,14,10,5,15,0.529,8.37,-2.56,21.57,0.12,2.72,-0.71,2016,1
213,337.4,224.1,113.3,22.9,342.8,239.5,103.3,20.7,35,956,27.3,98,2,19,246,12.9,66,0,13,6,16,10,26,14,6,20,0.438,8.43,1.66,24.33,1.58,2.67,0.72,2016,0
214,334.9,233.0,101.9,19.9,321.7,215.3,106.4,25.0,37,881,23.8,100,1,40,220,5.5,42,0,24,-16,7,6,13,16,13,29,0.188,7.79,-4.9,21.18,-1.84,2.62,-0.4,2016,0
215,332.8,218.8,114.0,22.7,382.6,242.2,140.4,23.8,35,879,25.1,96,1,36,328,9.1,74,1,18,2,16,9,25,15,8,23,0.588,8.48,-1.99,22.95,-0.69,2.64,0.02,2016,1
216,330.7,242.4,88.3,19.4,339.7,251.1,88.6,17.8,31,739,23.8,46,0,45,275,6.1,19,0,17,-2,17,8,25,16,11,27,0.647,8.66,-0.09,20.76,3.39,2.68,-0.18,2016,1
217,329.3,216.6,112.6,17.2,342.4,243.6,98.8,25.6,43,941,21.9,65,0,27,149,5.5,27,0,28,-20,8,6,14,25,9,34,0.313,8.02,-4.78,20.38,-0.92,2.68,0.37,2016,0
218,323.1,230.3,92.8,20.8,316.1,185.8,130.3,18.6,21,481,22.9,46,0,37,316,8.5,25,0,26,2,14,13,27,11,14,25,0.563,8.71,3.7,21.96,5.98,2.72,0.92,2016,0
219,315.1,239.8,75.3,20.4,314.9,207.9,106.9,19.2,33,902,27.3,104,1,34,354,10.4,79,2,22,11,14,13,27,5,11,16,0.5,8.42,0.27,21.55,2.96,2.69,-1.02,2016,0
220,314.7,198.5,116.2,17.4,301.3,201.6,99.7,20.5,30,557,18.6,39,0,39,427,10.9,67,1,29,-7,11,6,17,16,8,24,0.556,8.55,-1.22,19.88,3.14,2.7,0.23,2016,1
221,311.0,204.0,107.0,16.5,392.4,249.8,142.7,28.3,34,634,18.6,36,0,30,200,6.7,18,0,13,-12,10,3,13,14,11,25,0.063,7.45,-8.36,19.06,-3.17,2.59,1.08,2016,0
222,308.1,181.9,126.2,19.3,406.4,240.5,165.9,30.0,38,749,19.7,41,0,23,216,9.4,29,0,36,-5,10,10,20,10,15,25,0.125,7.57,-7.32,20.83,-3.9,2.71,-0.48,2016,0
223,262.7,184.4,78.3,14.0,337.0,233.3,103.8,24.6,47,1122,23.9,61,0,49,369,7.5,47,0,19,-11,10,8,18,20,9,29,0.25,7.91,-7.69,16.36,0.2,2.62,1.15,2016,0
224,408.3,288.5,119.8,30.6,321.7,230.4,91.3,19.6,32,770,24.1,108,1,39,289,7.4,38,0,22,9,19,14,33,13,11,24,0.778,8.98,5.11,27.06,1.58,2.58,1.75,2015,1
225,403.8,310.6,93.2,25.5,413.8,284.0,129.8,29.8,28,605,21.6,38,0,32,275,8.6,74,1,13,2,9,13,22,12,8,20,0.438,8.06,-2.44,25.46,-4.36,2.61,-2.0,2015,0
226,395.4,287.7,107.8,26.4,363.1,271.9,91.2,19.9,29,701,24.2,38,0,28,231,8.3,71,1,17,2,17,13,30,21,7,28,0.611,8.82,5.72,25.79,3.47,2.6,2.38,2015,1
227,378.6,236.9,141.8,26.4,291.8,210.3,81.5,17.3,34,868,25.5,105,1,42,450,10.7,66,1,22,6,14,8,22,8,8,16,0.611,8.87,8.3,26.13,5.71,2.6,1.64,2015,1
228,375.9,240.8,135.1,21.4,340.4,240.0,100.4,26.1,21,506,24.1,38,0,29,288,9.9,58,0,14,-5,11,12,23,15,13,28,0.375,7.9,-6.02,20.18,-2.66,2.38,-2.26,2015,0
229,374.4,286.7,87.8,29.1,339.4,240.7,98.8,19.7,25,469,18.8,75,0,47,473,10.1,82,0,18,7,12,9,21,7,7,14,0.722,8.92,7.37,27.91,3.0,2.6,0.23,2015,1
230,374.4,273.7,100.7,21.2,347.6,242.6,105.0,21.6,26,667,25.7,50,0,27,255,9.4,41,0,20,-7,15,8,23,17,13,30,0.5,8.21,-1.98,20.65,0.91,2.5,-2.28,2015,0
231,372.3,271.7,100.6,26.3,420.3,298.9,121.4,27.6,39,971,24.9,100,1,36,367,10.2,80,1,9,6,15,12,27,14,7,21,0.375,8.01,-2.11,25.53,-4.1,2.48,-1.24,2015,0
232,371.8,286.9,84.9,20.0,361.9,236.6,125.3,24.9,28,583,20.8,34,0,20,84,4.2,18,0,26,-4,11,9,20,13,11,24,0.25,8.04,-1.0,21.94,0.61,2.53,1.63,2015,0
233,370.3,253.6,116.8,24.2,318.6,235.2,83.4,19.6,37,771,20.8,54,0,49,422,8.6,58,0,22,6,18,12,30,16,8,24,0.625,8.47,0.67,22.18,2.04,2.51,-2.1,2015,0
234,366.9,224.3,142.6,31.3,322.9,234.5,88.4,19.3,22,407,18.5,33,0,30,282,9.4,37,0,25,20,24,15,39,10,9,19,0.895,9.22,7.0,28.44,2.1,2.52,-0.16,2015,1
235,364.4,255.4,108.9,23.6,401.6,267.1,134.6,26.9,27,565,20.9,49,0,39,443,11.4,89,2,18,-5,15,11,26,18,13,31,0.438,8.12,-2.12,24.05,-2.63,2.44,-0.97,2015,0
