,off_total_yds_g,off_pass_yds_g,off_rush_yds_g,off_pts_g,def_total_yds_g,def_pass_yds_g,def_rush_yds_g,def_pts_g,kick_att,kick_yds,kick_avg,kick_lng,kick_td,punt_att,punt_yds,punt_avg,punt_lng,punt_td,punt_fc,turn_diff,take_int,take_fum,take_total,give_int,give_fum,give_total,record,rat,pwr,off,def,hfa,sos,Year,Playoff
269,350.1,233.1,117.0,24.3,343.4,222.3,121.1,23.3,41,1082,26.4,74,0,25,204,8.2,32,0,19,2,14,11,25,12,11,23,0.5,8.46,0.46,24.67,-0.57,2.61,0.78,2014,0
270,348.0,213.8,134.2,22.8,359.3,243.0,116.3,21.5,45,1241,27.6,97,0,40,436,10.9,49,0,15,0,20,6,26,17,9,26,0.618,8.6,0.98,22.91,1.72,2.69,0.09,2014,1
271,346.7,219.4,127.3,21.2,339.8,227.8,112.0,23.4,37,805,21.8,49,0,30,239,8.0,79,1,26,3,14,12,26,12,11,23,0.472,8.44,-0.49,22.14,1.01,2.62,0.27,2014,1
272,344.6,209.5,135.1,23.3,348.2,243.1,105.1,19.2,20,422,21.1,41,0,34,208,6.1,21,0,28,12,20,14,34,13,9,22,0.563,8.45,0.25,21.66,2.23,2.67,-2.33,2014,0
273,341.6,256.1,85.4,21.8,338.3,214.2,124.1,21.8,26,577,22.2,35,0,23,203,8.8,58,0,18,-5,7,11,18,18,5,23,0.563,8.6,0.97,23.26,1.35,2.7,1.05,2014,0
274,340.8,251.9,88.9,20.1,300.9,231.6,69.3,17.6,25,612,24.5,41,0,32,284,8.9,28,0,37,7,20,7,27,12,8,20,0.647,8.71,1.11,20.98,3.77,2.73,0.01,2014,1
275,327.4,191.4,136.0,19.1,321.4,220.7,100.8,21.3,45,1104,24.5,57,0,35,227,6.5,23,0,13,7,23,6,29,10,12,22,0.5,8.51,0.75,21.5,2.89,2.72,0.6,2014,0
276,327.1,237.0,90.1,19.9,377.1,264.4,112.7,27.6,55,1290,23.5,101,1,21,109,5.2,22,0,13,-5,14,10,24,19,10,29,0.313,8.06,-4.41,21.24,-2.0,2.64,0.61,2014,0
277,326.6,184.1,142.5,17.7,327.2,234.1,93.1,25.1,58,1342,23.1,87,0,43,273,6.3,41,0,20,-11,6,7,13,15,9,24,0.25,8.04,-3.27,20.07,0.3,2.65,1.2,2014,0
278,324.6,216.6,108.0,18.7,366.1,224.5,141.6,21.1,37,801,21.6,39,0,27,181,6.7,37,0,25,6,21,8,29,16,7,23,0.438,8.24,-3.53,19.08,1.03,2.61,-0.84,2014,0
279,319.8,238.0,81.8,19.4,368.2,259.5,108.7,18.7,22,417,19.0,43,0,26,277,10.7,71,1,24,8,18,7,25,12,5,17,0.647,8.72,0.4,20.56,3.48,2.74,0.98,2014,1
280,318.8,198.9,119.9,22.1,330.5,203.3,127.3,17.6,51,1430,28.0,99,1,50,605,12.1,81,1,4,-4,6,7,13,6,11,17,0.563,8.66,2.66,22.06,4.24,2.61,0.52,2014,0
281,318.5,225.9,92.6,21.4,312.2,205.8,106.4,18.1,33,770,23.3,102,1,37,354,9.6,75,1,18,7,19,11,30,13,10,23,0.563,8.64,2.17,22.05,3.75,2.74,0.64,2014,0
282,315.5,202.8,112.8,20.3,344.7,223.3,121.4,21.4,54,1173,21.7,51,0,27,297,11.0,35,0,26,-1,13,6,19,18,2,20,0.438,8.33,-1.05,21.52,1.06,2.72,-0.27,2014,0
283,314.7,212.5,102.2,20.3,351.6,241.3,110.3,22.1,45,1099,24.4,75,0,37,482,13.0,90,2,24,-2,13,12,25,16,11,27,0.375,8.27,-1.34,21.23,1.06,2.65,0.78,2014,0
284,303.7,213.3,90.4,15.9,373.0,235.8,137.2,27.4,48,1121,23.4,52,0,30,207,6.9,48,0,18,-10,12,4,16,16,10,26,0.125,7.53,-9.47,17.18,-3.0,2.63,-0.73,2014,0
285,292.0,206.1,85.9,17.3,368.9,255.3,113.7,25.6,36,819,22.8,45,0,23,249,10.8,53,0,17,-8,14,11,25,20,13,33,0.125,7.67,-6.52,17.87,-0.75,2.55,-0.27,2014,0
286,289.6,187.6,102.1,15.6,370.8,243.7,127.1,25.8,43,1033,24.0,40,0,37,264,7.1,23,0,15,-6,6,14,20,18,8,26,0.188,7.71,-8.71,16.48,-1.56,2.61,-0.31,2014,0
287,282.2,204.7,77.5,15.8,357.6,238.1,119.4,28.3,47,1027,21.9,42,0,37,261,7.1,27,0,17,-15,9,5,14,16,13,29,0.188,7.79,-7.59,19.66,-3.62,2.6,1.82,2014,0
